iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
191, -355, 973910.0, -11.8333333333, 0, -69.75, 0, 70
192, -321, 978920.0, -10.7, 0, 76.5, 70, 4.2
193, -226, 984039.0, -7.53333333333, 0, 213.75, 70, 0
194, -249, 989056.0, -8.3, 0, -51.75, 9.95, 70
195, -48, 994165.0, -1.6, 0, 452.25, 70, 0
196, -269, 999210.0, -8.96666666667, 0, -497.25, 0, 70
197, -40, 1004369.0, -1.33333333333, 0, 515.25, 70, 0
198, 27, 1009367.0, 0.9, 0, 150.75, 70, 0
199, 63, 1014436.0, 2.1, 0, 81.0, 70, 0
200, -30, 1019524.0, -1.0, 0, -209.25, 0, 70
201, 6, 1024663.0, 0.2, 0, 81.0, 70, 0
202, 66, 1029732.0, 2.2, 0, 135.0, 70, 0
203, 0, 1034812.0, 0.0, 0, -148.5, 0, 70
204, 76, 1039908.0, 2.53333333333, 0, 171.0, 70, 0
205, -36, 1044977.0, -1.2, 0, -252.0, 0, 70
206, 0, 1050054.0, 0.0, 0, 81.0, 70, 0
207, 130, 1055154.0, 4.33333333333, 0, 292.5, 70, 0
208, -16, 1060243.0, -0.533333333333, 0, -328.5, 0, 70
209, -67, 1065359.0, -2.23333333333, 0, -114.75, 0, 70
210, -230, 1070461.0, -7.66666666667, 0, -366.75, 0, 70
211, -251, 1075522.0, -8.36666666667, 0, -47.25, 14.3833333333, 70
212, -123, 1080619.0, -4.1, 0, 288.0, 70, 0
213, 96, 1085712.0, 3.2, 0, 492.75, 70, 0
214, -197, 1090759.0, -6.56666666667, 0, -659.25, 0, 70
215, 50, 1095872.0, 1.66666666667, 0, 555.75, 70, 0
216, 0, 1100952.0, 0.0, 0, -112.5, 0, 70
217, -72, 1106056.0, -2.4, 0, -162.0, 0, 70
218, -54, 1111149.0, -1.8, 0, 40.5, 70, 31.3
219, -202, 1116178.0, -6.73333333333, 0, -333.0, 0, 70
220, -193, 1121353.0, -6.43333333333, 0, 20.25, 70, 56.1833333333
221, -169, 1126379.0, -5.63333333333, 0, 54.0, 70, 21.6333333333
222, -121, 1131460.0, -4.03333333333, 0, 108.0, 70, 0
223, -156, 1136505.0, -5.2, 0, -78.75, 0, 70
224, 142, 1141609.0, 4.73333333333, 0, 670.5, 70, 0
225, -176, 1146669.0, -5.86666666667, 0, -715.5, 0, 70
226, -104, 1151824.0, -3.46666666667, 0, 162.0, 70, 0
227, 36, 1156876.0, 1.2, 0, 315.0, 70, 0
228, 73, 1161948.0, 2.43333333333, 0, 83.25, 70, 0
229, -73, 1167039.0, -2.43333333333, 0, -328.5, 0, 70
230, 8, 1172127.0, 0.266666666667, 0, 182.25, 70, 0
231, 65, 1177197.0, 2.16666666667, 0, 128.25, 70, 0
232, 230, 1182278.0, 7.66666666667, 0, 371.25, 70, 0
233, 17, 1187361.0, 0.566666666667, 0, -479.25, 0, 70
234, -6, 1192488.0, -0.2, 0, -51.75, 18.05, 70
235, 127, 1197599.0, 4.23333333333, 0, 299.25, 70, 0
236, 259, 1202655.0, 8.63333333333, 0, 297.0, 70, 0
237, 368, 1207718.0, 12.2666666667, 0, 245.25, 70, 0
238, 257, 1212844.0, 8.56666666667, 0, -249.75, 0, 70
239, 175, 1217896.0, 5.83333333333, 0, -184.5, 0, 70
240, 215, 1223045.0, 7.16666666667, 0, 90.0, 70, 0
241, 190, 1228108.0, 6.33333333333, 0, -56.25, 20.0833333333, 70
242, -69, 1233246.0, -2.3, 0, -582.75, 0, 70
243, 156, 1238255.0, 5.2, 0, 506.25, 70, 0
244, 30, 1243299.0, 1.0, 0, -283.5, 0, 70
245, 275, 1248385.0, 9.16666666667, 0, 551.25, 70, 0
246, 219, 1253477.0, 7.3, 0, -126.0, 0, 70
247, 322, 1258553.0, 10.7333333333, 0, 231.75, 70, 0
248, 342, 1263677.0, 11.4, 0, 45.0, 70, 13.6
249, 218, 1268709.0, 7.26666666667, 0, -279.0, 0, 70
250, 42, 1273870.0, 1.4, 0, -396.0, 0, 70
251, 266, 1278921.0, 8.86666666667, 0, 504.0, 70, 0
252, 208, 1284036.0, 6.93333333333, 0, -130.5, 0, 70
253, 248, 1289103.0, 8.26666666667, 0, 90.0, 70, 0
254, 82, 1294192.0, 2.73333333333, 0, -373.5, 0, 70
255, 214, 1299286.0, 7.13333333333, 0, 297.0, 70, 0
256, 254, 1304380.0, 8.46666666667, 0, 90.0, 70, 0
257, 183, 1309427.0, 6.1, 0, -159.75, 0, 70
258, 140, 1314548.0, 4.66666666667, 0, -96.75, 0, 70
259, 337, 1319655.0, 11.2333333333, 0, 443.25, 70, 0
260, 299, 1324725.0, 9.96666666667, 0, -85.5, 0, 70
261, 77, 1329819.0, 2.56666666667, 0, -499.5, 0, 70
262, 80, 1334891.0, 2.66666666667, 0, 6.75, 70, 60.5833333333
263, -39, 1340012.0, -1.3, 0, -267.75, 0, 70
264, 188, 1345029.0, 6.26666666667, 0, 510.75, 70, 0
265, 77, 1350141.0, 2.56666666667, 0, -249.75, 0, 70
266, 130, 1355222.0, 4.33333333333, 0, 119.25, 70, 0
267, 79, 1360281.0, 2.63333333333, 0, -114.75, 0, 70
268, 72, 1365393.0, 2.4, 0, -15.75, 56.65, 70
269, 66, 1370495.0, 2.2, 0, -13.5, 58.7, 70
270, 0, 1375512.0, 0.0, 0, -148.5, 0, 70
271, 229, 1380666.0, 7.63333333333, 0, 515.25, 70, 0
272, 128, 1385751.0, 4.26666666667, 0, -227.25, 0, 70
273, 324, 1390839.0, 10.8, 0, 441.0, 70, 0
274, 88, 1395917.0, 2.93333333333, 0, -531.0, 0, 70
275, 104, 1401013.0, 3.46666666667, 0, 36.0, 70, 30.5333333333
276, 25, 1406121.0, 0.833333333333, 0, -177.75, 0, 70
277, 232, 1411182.0, 7.73333333333, 0, 465.75, 70, 0
278, 271, 1416229.0, 9.03333333333, 0, 87.75, 70, 0
279, 408, 1421344.0, 13.6, 0, 308.25, 70, 0
280, 371, 1426426.0, 12.3666666667, 0, -83.25, 0, 70
281, 198, 1431547.0, 6.6, 0, -389.25, 0, 70
282, 454, 1436576.0, 15.1333333333, 0, 576.0, 70, 0
283, 555, 1441646.0, 18.5, 0, 227.25, 70, 0
284, 370, 1446730.0, 12.3333333333, 0, -416.25, 0, 70
285, 534, 1451812.0, 17.8, 0, 369.0, 70, 0
286, 360, 1456891.0, 12.0, 0, -391.5, 0, 70
287, 391, 1461971.0, 13.0333333333, 0, 69.75, 70, 0
288, 428, 1467054.0, 14.2666666667, 0, 83.25, 70, 0
289, 423, 1472163.0, 14.1, 0, -11.25, 70, 67.15
290, 395, 1477274.0, 13.1666666667, 0, -63.0, 20.1666666667, 70
291, 336, 1482338.0, 11.2, 0, -132.75, 0, 70
292, 417, 1487470.0, 13.9, 0, 182.25, 70, 0
293, 377, 1492481.0, 12.5666666667, 0, -90.0, 0, 70
294, 335, 1497556.0, 11.1666666667, 0, -94.5, 0, 70
295, 249, 1502667.0, 8.3, 0, -193.5, 0, 70
296, 210, 1507785.0, 7.0, 0, -87.75, 0, 70
297, 525, 1512846.0, 17.5, 0, 708.75, 70, 0
298, 555, 1517883.0, 18.5, 0, 67.5, 70, 0
299, 402, 1522982.0, 13.4, 0, -344.25, 0, 70
300, 494, 1528085.0, 16.4666666667, 0, 207.0, 70, 0
301, 446, 1533184.0, 14.8666666667, 0, -108.0, 0, 70
302, 451, 1538267.0, 15.0333333333, 0, 11.25, 70, 43.7166666667
303, 411, 1543379.0, 13.7, 0, -90.0, 0, 70
304, 352, 1548380.0, 11.7333333333, 0, -132.75, 0, 70
305, 553, 1553586.0, 18.4333333333, 0, 452.25, 70, 0
306, 509, 1558597.0, 16.9666666667, 0, -99.0, 0, 70
307, 515, 1563696.0, 17.1666666667, 0, 13.5, 70, 39.3333333333
308, 528, 1568736.0, 17.6, 0, 29.25, 70, 23.15
309, 405, 1573806.0, 13.5, 0, -276.75, 0, 70
310, 572, 1578928.0, 19.0666666667, 0, 375.75, 70, 0
311, 583, 1584059.0, 19.4333333333, 0, 24.75, 70, 25.8166666667
312, 584, 1589076.0, 19.4666666667, 0, 2.25, 70, 48.2833333333
313, 901, 1594177.0, 30.0333333333, 0, 713.25, 70, 0
314, 660, 1599245.0, 22.0, 0, -542.25, 0, 70
315, 861, 1604328.0, 28.7, 0, 452.25, 70, 0
316, 721, 1609388.0, 24.0333333333, 0, -315.0, 0, 70
317, 582, 1614498.0, 19.4, 0, -312.75, 0, 70
318, 649, 1619635.0, 21.6333333333, 0, 150.75, 70, 0
319, 641, 1624729.0, 21.3666666667, 0, -18.0, 70, 66.6333333333
320, 648, 1629779.0, 21.6, 0, 15.75, 70, 32.65
321, 522, 1634867.0, 17.4, 0, -283.5, 0, 70
322, 659, 1639969.0, 21.9666666667, 0, 308.25, 70, 0
323, 922, 1645031.0, 30.7333333333, 0, 591.75, 70, 0
324, 707, 1650104.0, 23.5666666667, 0, -483.75, 0, 70
325, 600, 1655208.0, 20.0, 0, -240.75, 0, 70
326, 741, 1660287.0, 24.7, 0, 317.25, 70, 0
327, 705, 1665356.0, 23.5, 0, -81.0, 12.5, 70
328, 755, 1670432.0, 25.1666666667, 0, 112.5, 70, 0
329, 649, 1675519.0, 21.6333333333, 0, -238.5, 0, 70
330, 815, 1680590.0, 27.1666666667, 0, 373.5, 70, 0
331, 860, 1685661.0, 28.6666666667, 0, 101.25, 70, 0
332, 843, 1690810.0, 28.1, 0, -38.25, 59.85, 70
333, 923, 1695844.0, 30.7666666667, 0, 180.0, 70, 0
334, 1000, 1700921.0, 33.3333333333, 0, 173.25, 70, 0
335, 619, 1706013.0, 20.6333333333, 0, -857.25, 0, 70
336, 776, 1711086.0, 25.8666666667, 0, 353.25, 70, 0
337, 749, 1716183.0, 24.9666666667, 0, -60.75, 34.2166666667, 70
338, 630, 1721258.0, 21.0, 0, -267.75, 0, 70
339, 596, 1726428.0, 19.8666666667, 0, -76.5, 13.3666666667, 70
340, 570, 1731446.0, 19.0, 0, -58.5, 30.5, 70
341, 686, 1736595.0, 22.8666666667, 0, 261.0, 70, 0
342, 924, 1741636.0, 30.8, 0, 535.5, 70, 0
343, 664, 1746709.0, 22.1333333333, 0, -585.0, 0, 70
344, 814, 1751824.0, 27.1333333333, 0, 337.5, 70, 0
345, 719, 1756877.0, 23.9666666667, 0, -213.75, 0, 70
346, 793, 1761995.0, 26.4333333333, 0, 166.5, 70, 0
347, 753, 1767061.0, 25.1, 0, -90.0, 5.1, 70
348, 626, 1772194.0, 20.8666666667, 0, -285.75, 0, 70
349, 660, 1777206.0, 22.0, 0, 76.5, 70, 0
350, 889, 1782300.0, 29.6333333333, 0, 515.25, 70, 0
351, 791, 1787413.0, 26.3666666667, 0, -220.5, 0, 70
352, 899, 1792507.0, 29.9666666667, 0, 243.0, 70, 0
353, 916, 1797563.0, 30.5333333333, 0, 38.25, 70, 1.21666666667
354, 988, 1802685.0, 32.9333333333, 0, 162.0, 70, 0
355, 904, 1807802.0, 30.1333333333, 0, -189.0, 0, 70
356, 634, 1812931.0, 21.1333333333, 0, -607.5, 0, 70
357, 672, 1818029.0, 22.4, 0, 85.5, 70, 0
358, 726, 1823104.0, 24.2, 0, 121.5, 70, 0
359, 724, 1828158.0, 24.1333333333, 0, -4.5, 70, 50.3666666667
360, 861, 1833234.0, 28.7, 0, 308.25, 70, 0
361, 805, 1838307.0, 26.8333333333, 0, -126.0, 0, 70
362, 687, 1843424.0, 22.9, 0, -265.5, 0, 70
363, 836, 1848533.0, 27.8666666667, 0, 335.25, 70, 0
364, 615, 1853550.0, 20.5, 0, -497.25, 0, 70
365, 422, 1858614.0, 14.0666666667, 0, -434.25, 0, 70
366, 427, 1863786.0, 14.2333333333, 0, 11.25, 70, 44.5166666667
367, 507, 1868835.0, 16.9, 0, 180.0, 70, 0
368, 402, 1873911.0, 13.4, 0, -236.25, 0, 70
369, 540, 1878984.0, 18.0, 0, 310.5, 70, 0
370, 581, 1884052.0, 19.3666666667, 0, 92.25, 70, 0
371, 419, 1889116.0, 13.9666666667, 0, -364.5, 0, 70
372, 333, 1894272.0, 11.1, 0, -193.5, 0, 70
373, 159, 1899337.0, 5.3, 0, -391.5, 0, 70
374, 76, 1904392.0, 2.53333333333, 0, -186.75, 0, 70
375, 140, 1909500.0, 4.66666666667, 0, 144.0, 70, 0
376, -68, 1914616.0, -2.26666666667, 0, -468.0, 0, 70
377, 28, 1919656.0, 0.933333333333, 0, 216.0, 70, 0
378, 138, 1924729.0, 4.6, 0, 247.5, 70, 0
379, 184, 1929805.0, 6.13333333333, 0, 103.5, 70, 0
380, 166, 1934918.0, 5.53333333333, 0, -40.5, 35.0333333333, 70
381, 203, 1940028.0, 6.76666666667, 0, 83.25, 70, 0
382, -11, 1945073.0, -0.366666666667, 0, -481.5, 0, 70
383, -26, 1950172.0, -0.866666666667, 0, -33.75, 35.3833333333, 70
384, 90, 1955281.0, 3.0, 0, 261.0, 70, 0
385, 16, 1960333.0, 0.533333333333, 0, -166.5, 0, 70
386, 74, 1965472.0, 2.46666666667, 0, 130.5, 70, 0
387, -90, 1970511.0, -3.0, 0, -369.0, 0, 70
388, -15, 1975655.0, -0.5, 0, 168.75, 70, 0
